Txn_id,Txn_date,Customer_id,Agent_id,Region,Txn_type,Amount (TZS),Sender_balance_before,Receiver_balance_before,Device_type,Hour_of_day,Is_fraud_flag,Unusual_hour_flag,High_amount_flag,Txn_datetime,Rapid_txn_flag,Fraud_risk_score,Risk_Category,Year_month
TXN0036,2025-08-12,CUST0309,AGT0063,Mwanza,Deposit,"472,347 ","835,879 ",0 ,Smartphone,8,0,0,1,6,1,80,High Risk,2025-08
TXN0037,2025-03-11,CUST0091,AGT0056,Mwanza,BuyAirtime,"479,276 ","919,931 ",0 ,Web,6,0,0,1,10,1,120,High Risk,2025-03
TXN0038,2025-09-05,CUST0468,AGT0013,Arusha,BuyAirtime,"334,994 ","8,859 ",0 ,Smartphone,8,0,0,1,4,1,60,Medium Risk,2025-09
TXN0039,2025-06-16,CUST0172,AGT0146,Mwanza,PayBill,"79,622 ","535,746 ",0 ,USSD,11,0,0,0,5,1,50,Medium Risk,2025-06
TXN0040,2025-03-21,CUST0352,AGT0089,Mbeya,BuyAirtime,"136,828 ","314,063 ",0 ,Smartphone,8,0,0,0,9,1,90,High Risk,2025-03
TXN0041,2025-07-04,CUST0306,AGT0105,Mwanza,BuyAirtime,"82,694 ","38,302 ",0 ,Feature Phone,4,0,0,0,6,1,60,Medium Risk,2025-07
TXN0042,2025-05-04,CUST0380,AGT0178,Dodoma,Send,"211,866 ","43,395 ",0 ,Web,21,0,0,1,10,1,120,High Risk,2025-05
TXN0043,2025-06-28,CUST0495,AGT0021,Mbeya,Receive,"369,347 ","536,330 ","463,873 ",Web,6,0,0,1,7,1,90,High Risk,2025-06
TXN0044,2025-02-19,CUST0403,AGT0147,Arusha,Receive,"198,656 ","609,297 ","474,967 ",Web,9,0,0,0,7,1,70,High Risk,2025-02
TXN0045,2025-07-08,CUST0076,AGT0025,Mwanza,Withdraw,"357,399 ","894,533 ",0 ,Web,15,0,0,1,5,1,70,High Risk,2025-07
TXN0046,2025-04-09,CUST0131,AGT0008,Dar,Receive,"261,907 ","688,066 ","364,086 ",USSD,13,0,0,1,10,1,120,High Risk,2025-04
TXN0047,2025-10-01,CUST0178,AGT0056,Dodoma,Deposit,"148,426 ","360,986 ",0 ,USSD,15,0,0,0,2,0,20,Low Risk,2025-10
TXN0048,2025-11-24,CUST0014,AGT0178,Mbeya,Send,"107,567 ","1,097 ",0 ,Feature Phone,6,0,0,0,3,1,30,Low Risk,2025-11
TXN0049,2025-04-28,CUST0366,AGT0186,Dodoma,Receive,"283,719 ","770,026 ","29,975 ",Web,8,0,0,1,9,1,110,High Risk,2025-04
TXN0050,2025-02-07,CUST0012,AGT0180,Dar,Receive,"448,736 ","753,922 ","421,635 ",Feature Phone,17,0,0,1,12,1,140,High Risk,2025-02
TXN0051,2025-05-19,CUST0073,AGT0112,Mwanza,PayBill,"434,467 ","772,995 ",0 ,Web,8,0,0,1,6,1,80,High Risk,2025-05
TXN0052,2025-06-03,CUST0094,AGT0005,Dodoma,BuyAirtime,"31,772 ","959,254 ",0 ,USSD,4,0,0,0,4,1,40,Medium Risk,2025-06
TXN0053,2025-06-25,CUST0408,AGT0147,Dar,Deposit,"188,953 ","62,233 ",0 ,Feature Phone,23,0,0,0,10,1,100,High Risk,2025-06
TXN0054,2025-11-19,CUST0166,AGT0105,Dar,Send,"441,470 ","382,111 ",0 ,Web,20,0,0,1,1,0,30,Low Risk,2025-11
TXN0055,2025-07-18,CUST0198,AGT0166,Arusha,Deposit,"389,584 ","467,294 ",0 ,Web,5,0,0,1,4,1,60,Medium Risk,2025-07
TXN0056,2025-03-06,CUST0336,AGT0050,Mwanza,Deposit,"261,381 ","627,117 ",0 ,Web,23,1,0,1,2,0,90,High Risk,2025-03
TXN0057,2025-06-27,CUST0089,AGT0181,Dodoma,BuyAirtime,"430,883 ","78,683 ",0 ,Smartphone,9,0,0,1,6,1,80,High Risk,2025-06
TXN0058,2025-06-30,CUST0169,AGT0101,Dar,Withdraw,"324,942 ","247,384 ",0 ,Feature Phone,13,0,0,1,4,1,60,Medium Risk,2025-06
TXN0059,2025-12-31,CUST0198,AGT0007,Mwanza,Send,"270,353 ","370,390 ",0 ,USSD,13,0,0,1,1,0,30,Low Risk,2025-12
TXN0060,2025-08-20,CUST0412,AGT0147,Mbeya,BuyAirtime,"457,714 ","965,433 ",0 ,USSD,11,0,0,1,3,1,50,Medium Risk,2025-08
TXN0061,2025-11-11,CUST0042,AGT0169,Mwanza,Withdraw,"152,962 ","399,540 ",0 ,USSD,5,0,0,0,3,1,30,Low Risk,2025-11
TXN0062,2025-01-12,CUST0296,AGT0033,Arusha,PayBill,"91,674 ","642,295 ",0 ,Web,3,0,0,0,5,1,50,Medium Risk,2025-01
TXN0063,2025-08-28,CUST0044,AGT0146,Dodoma,Receive,"423,093 ","156,133 ","437,959 ",Feature Phone,15,0,0,1,9,1,110,High Risk,2025-08
TXN0064,2025-09-21,CUST0484,AGT0071,Dar,Send,"290,661 ","603,192 ",0 ,USSD,16,0,0,1,4,1,60,Medium Risk,2025-09
TXN0065,2025-02-20,CUST0302,AGT0162,Dar,Send,"481,304 ","796,053 ",0 ,USSD,16,0,0,1,11,1,130,High Risk,2025-02
TXN0066,2025-09-21,CUST0424,AGT0099,Dar,BuyAirtime,"401,664 ","725,724 ",0 ,USSD,19,0,0,1,4,1,60,Medium Risk,2025-09
TXN0067,2025-04-28,CUST0067,AGT0127,Dar,Deposit,"294,880 ","893,669 ",0 ,Smartphone,2,0,0,1,10,1,120,High Risk,2025-04
TXN0068,2025-06-11,CUST0079,AGT0161,Dar,BuyAirtime,"269,531 ","724,757 ",0 ,Feature Phone,19,0,0,1,12,1,140,High Risk,2025-06
TXN0069,2025-05-06,CUST0337,AGT0049,Dar,BuyAirtime,"205,246 ","610,900 ",0 ,USSD,22,0,0,1,6,1,80,High Risk,2025-05
TXN0070,2025-10-12,CUST0294,AGT0142,Dar,PayBill,"422,577 ","895,790 ",0 ,Smartphone,20,0,0,1,2,0,40,Medium Risk,2025-10
TXN0071,2025-01-01,CUST0374,AGT0062,Dar,PayBill,"120,290 ","915,047 ",0 ,Feature Phone,14,0,0,0,12,1,120,High Risk,2025-01
TXN0072,2025-01-24,CUST0104,AGT0186,Arusha,Withdraw,"5,799 ","423,471 ",0 ,Web,23,0,0,0,14,1,140,High Risk,2025-01
TXN0073,2025-04-27,CUST0064,AGT0179,Mbeya,Deposit,"356,127 ","434,621 ",0 ,USSD,14,0,0,1,7,1,90,High Risk,2025-04
TXN0074,2025-05-21,CUST0340,AGT0154,Dodoma,Deposit,"81,821 ","683,810 ",0 ,USSD,20,0,0,0,6,1,60,Medium Risk,2025-05
TXN0075,2025-03-06,CUST0262,AGT0048,Dar,Send,"374,523 ","237,938 ",0 ,Feature Phone,5,0,0,1,12,1,140,High Risk,2025-03
TXN0076,2025-10-15,CUST0457,AGT0142,Mwanza,Withdraw,"280,281 ","445,656 ",0 ,Feature Phone,19,1,0,1,2,0,90,High Risk,2025-10
TXN0077,2025-01-08,CUST0294,AGT0156,Dar,Receive,"187,603 ","648,662 ","163,166 ",Web,6,0,0,0,11,1,110,High Risk,2025-01
TXN0078,2025-08-28,CUST0167,AGT0172,Mwanza,PayBill,"319,367 ","723,930 ",0 ,Smartphone,19,0,0,1,1,0,30,Low Risk,2025-08
TXN0079,2025-08-25,CUST0454,AGT0066,Dar,Receive,"483,521 ","90,041 ","327,517 ",Web,12,0,0,1,4,1,60,Medium Risk,2025-08
TXN0080,2025-12-10,CUST0090,AGT0025,Dar,Send,"228,367 ","794,104 ",0 ,Feature Phone,22,0,0,1,2,0,40,Medium Risk,2025-12
TXN0081,2025-08-20,CUST0249,AGT0111,Mbeya,BuyAirtime,"392,737 ","132,777 ",0 ,Feature Phone,15,0,0,1,5,1,70,High Risk,2025-08
TXN0082,2025-08-07,CUST0372,AGT0110,Mbeya,Withdraw,"136,373 ","6,422 ",0 ,Feature Phone,1,0,0,0,4,1,40,Medium Risk,2025-08
TXN0083,2025-03-18,CUST0008,AGT0120,Dodoma,Receive,"313,587 ","345,526 ","293,684 ",Smartphone,12,0,0,1,13,1,150,High Risk,2025-03
TXN0084,2025-03-29,CUST0494,AGT0045,Dar,Receive,"280,683 ","48,156 ","244,030 ",Web,23,0,0,1,14,1,160,High Risk,2025-03
TXN0085,2025-07-16,CUST0452,AGT0038,Arusha,BuyAirtime,"95,786 ","342,320 ",0 ,Web,11,0,0,0,3,1,30,Low Risk,2025-07
TXN0086,2025-11-30,CUST0332,AGT0093,Arusha,Send,"308,320 ","221,681 ",0 ,USSD,0,0,0,1,3,1,50,Medium Risk,2025-11
TXN0087,2025-01-17,CUST0241,AGT0026,Arusha,Send,"419,463 ","396,894 ",0 ,Web,21,0,0,1,8,1,100,High Risk,2025-01
TXN0088,2025-04-05,CUST0206,AGT0026,Arusha,Withdraw,"211,264 ","720,901 ",0 ,Web,21,0,0,1,10,1,120,High Risk,2025-04
TXN0089,2025-04-07,CUST0244,AGT0079,Arusha,Deposit,"336,351 ","972,511 ",0 ,Smartphone,0,0,0,1,10,1,120,High Risk,2025-04
TXN0090,2025-05-14,CUST0221,AGT0139,Mwanza,Receive,"128,594 ","658,412 ","399,809 ",Feature Phone,21,0,0,0,8,1,80,High Risk,2025-05
TXN0091,2025-06-07,CUST0278,AGT0124,Dodoma,Withdraw,"346,216 ","190,985 ",0 ,Smartphone,7,0,0,1,6,1,80,High Risk,2025-06
TXN0092,2025-08-20,CUST0036,AGT0128,Mbeya,Send,"347,221 ","202,121 ",0 ,USSD,2,0,0,1,8,1,100,High Risk,2025-08
TXN0093,2025-01-18,CUST0011,AGT0153,Arusha,BuyAirtime,"359,468 ","580,897 ",0 ,Web,7,0,0,1,10,1,120,High Risk,2025-01
TXN0094,2025-07-10,CUST0218,AGT0099,Arusha,PayBill,"103,220 ","150,800 ",0 ,Smartphone,17,0,0,0,6,1,60,Medium Risk,2025-07
TXN0095,2025-12-04,CUST0216,AGT0144,Dodoma,PayBill,"126,702 ","694,700 ",0 ,Smartphone,17,0,0,0,2,0,20,Low Risk,2025-12
TXN0096,2025-05-24,CUST0399,AGT0125,Dar,Withdraw,"280,643 ","308,612 ",0 ,Smartphone,9,0,0,1,3,1,50,Medium Risk,2025-05
TXN0097,2025-05-01,CUST0246,AGT0010,Arusha,Withdraw,"178,891 ","274,428 ",0 ,Smartphone,4,0,0,0,13,1,130,High Risk,2025-05
TXN0098,2025-12-21,CUST0413,AGT0160,Mwanza,Withdraw,"4,422 ","643,263 ",0 ,Smartphone,0,0,0,0,1,0,10,Low Risk,2025-12
TXN0099,2025-11-25,CUST0117,AGT0017,Arusha,Deposit,"370,558 ","914,436 ",0 ,Web,19,0,0,1,2,0,40,Medium Risk,2025-11
TXN0100,2025-12-14,CUST0262,AGT0182,Dar,Deposit,"62,977 ","362,553 ",0 ,Web,6,0,0,0,2,0,20,Low Risk,2025-12
TXN0101,2025-05-09,CUST0171,AGT0132,Mbeya,Receive,"329,495 ","689,583 ","490,652 ",USSD,22,0,0,1,5,1,70,High Risk,2025-05
TXN0102,2025-11-26,CUST0424,AGT0078,Mbeya,BuyAirtime,"260,515 ","759,912 ",0 ,USSD,5,0,0,1,2,0,40,Medium Risk,2025-11
TXN0103,2025-12-29,CUST0380,AGT0159,Mbeya,PayBill,"259,948 ","290,493 ",0 ,Feature Phone,5,0,0,1,1,0,30,Low Risk,2025-12
TXN0104,2025-01-21,CUST0082,AGT0020,Mbeya,Send,"197,810 ","893,352 ",0 ,Feature Phone,20,0,0,0,5,1,50,Medium Risk,2025-01
TXN0105,2025-05-28,CUST0224,AGT0183,Mbeya,Receive,"125,526 ","432,167 ","108,336 ",USSD,0,0,0,0,5,1,50,Medium Risk,2025-05
TXN0106,2025-04-09,CUST0133,AGT0101,Arusha,Send,"97,072 ","474,828 ",0 ,Smartphone,2,0,0,0,8,1,80,High Risk,2025-04
TXN0107,2025-07-26,CUST0352,AGT0062,Arusha,Send,"280,047 ","447,822 ",0 ,USSD,15,0,0,1,5,1,70,High Risk,2025-07
TXN0108,2025-05-14,CUST0232,AGT0006,Mbeya,Send,"459,247 ","166,678 ",0 ,Feature Phone,2,0,0,1,7,1,90,High Risk,2025-05
TXN0109,2025-05-25,CUST0084,AGT0029,Mbeya,BuyAirtime,"212,958 ","765,324 ",0 ,Smartphone,4,0,0,1,7,1,90,High Risk,2025-05
TXN0110,2025-11-27,CUST0052,AGT0037,Mbeya,PayBill,"70,104 ","608,314 ",0 ,Smartphone,17,0,0,0,2,0,20,Low Risk,2025-11
TXN0111,2025-01-09,CUST0498,AGT0072,Mbeya,Deposit,"403,695 ","891,213 ",0 ,Web,16,0,0,1,16,1,180,High Risk,2025-01
TXN0112,2025-09-16,CUST0230,AGT0002,Mbeya,Receive,"287,178 ","847,572 ","27,806 ",Feature Phone,1,0,0,1,3,1,50,Medium Risk,2025-09
TXN0113,2025-06-22,CUST0120,AGT0181,Arusha,BuyAirtime,"266,341 ","837,882 ",0 ,Web,14,0,0,1,3,1,50,Medium Risk,2025-06
TXN0114,2025-05-29,CUST0499,AGT0034,Mbeya,PayBill,"27,559 ","203,963 ",0 ,USSD,11,0,0,0,7,1,70,High Risk,2025-05
TXN0115,2025-05-04,CUST0412,AGT0177,Mwanza,Receive,"12,985 ","177,478 ","85,670 ",Feature Phone,20,0,0,0,8,1,80,High Risk,2025-05
TXN0116,2025-05-12,CUST0312,AGT0185,Arusha,PayBill,"89,248 ","742,116 ",0 ,Feature Phone,3,0,0,0,8,1,80,High Risk,2025-05
TXN0117,2025-06-02,CUST0045,AGT0038,Dar,Withdraw,"98,783 ","964,224 ",0 ,USSD,14,0,0,0,10,1,100,High Risk,2025-06
TXN0118,2025-12-23,CUST0201,AGT0032,Mbeya,Send,"218,814 ","861,358 ",0 ,Smartphone,16,0,0,1,1,0,30,Low Risk,2025-12
TXN0119,2025-01-30,CUST0101,AGT0054,Mbeya,PayBill,"416,908 ","82,240 ",0 ,USSD,17,0,0,1,14,1,160,High Risk,2025-01
TXN0120,2025-02-27,CUST0107,AGT0189,Dar,PayBill,"416,288 ","36,896 ",0 ,Smartphone,15,0,0,1,11,1,130,High Risk,2025-02
TXN0121,2025-02-03,CUST0047,AGT0162,Mbeya,BuyAirtime,"255,567 ","988,796 ",0 ,Feature Phone,10,0,0,1,10,1,120,High Risk,2025-02
TXN0122,2025-08-30,CUST0281,AGT0104,Dar,Withdraw,"58,674 ","77,031 ",0 ,Web,23,0,0,0,7,1,70,High Risk,2025-08
TXN0123,2025-01-11,CUST0163,AGT0040,Mwanza,Receive,"389,934 ","320,012 ","432,703 ",Feature Phone,21,0,0,1,11,1,130,High Risk,2025-01
TXN0124,2025-07-11,CUST0389,AGT0145,Arusha,BuyAirtime,"345,383 ","466,212 ",0 ,USSD,7,0,0,1,10,1,120,High Risk,2025-07
TXN0125,2025-04-18,CUST0260,AGT0093,Arusha,Receive,"106,081 ","42,798 ","338,640 ",Feature Phone,6,0,0,0,7,1,70,High Risk,2025-04
TXN0126,2025-08-01,CUST0138,AGT0193,Arusha,Withdraw,"70,976 ","275,799 ",0 ,USSD,7,0,0,0,6,1,60,Medium Risk,2025-08
TXN0127,2025-12-10,CUST0313,AGT0120,Mbeya,Receive,"361,406 ","757,622 ","208,445 ",Feature Phone,23,0,0,1,2,0,40,Medium Risk,2025-12
TXN0128,2025-01-29,CUST0271,AGT0098,Dodoma,PayBill,"272,576 ","829,774 ",0 ,Smartphone,8,0,0,1,6,1,80,High Risk,2025-01
TXN0129,2025-11-26,CUST0226,AGT0164,Mbeya,Receive,"463,526 ","218,729 ","242,118 ",Feature Phone,20,0,0,1,2,0,40,Medium Risk,2025-11
TXN0130,2025-06-18,CUST0479,AGT0192,Dar,PayBill,"45,594 ","70,482 ",0 ,Feature Phone,21,0,0,0,6,1,60,Medium Risk,2025-06
TXN0131,2025-03-18,CUST0063,AGT0039,Dar,Withdraw,"87,943 ","89,191 ",0 ,Feature Phone,5,0,0,0,12,1,120,High Risk,2025-03
TXN0132,2025-11-27,CUST0390,AGT0061,Mwanza,Withdraw,"281,410 ","19,425 ",0 ,Feature Phone,20,0,0,1,1,0,30,Low Risk,2025-11
TXN0133,2025-08-24,CUST0435,AGT0040,Arusha,Send,"385,917 ","352,943 ",0 ,Web,22,0,0,1,4,1,60,Medium Risk,2025-08
TXN0134,2025-07-05,CUST0121,AGT0102,Arusha,Receive,"12,958 ","422,604 ","403,144 ",USSD,18,0,0,0,4,1,40,Medium Risk,2025-07
TXN0135,2025-02-17,CUST0118,AGT0020,Dodoma,Deposit,"174,779 ","877,816 ",0 ,Feature Phone,17,0,0,0,11,1,110,High Risk,2025-02
TXN0136,2025-02-20,CUST0204,AGT0135,Dar,Send,"201,187 ","909,066 ",0 ,Smartphone,7,0,0,1,12,1,140,High Risk,2025-02
TXN0137,2025-06-02,CUST0205,AGT0130,Dodoma,Deposit,"470,703 ","422,059 ",0 ,Web,15,0,0,1,6,1,80,High Risk,2025-06
TXN0138,2025-02-25,CUST0132,AGT0070,Mbeya,PayBill,"54,989 ","760,282 ",0 ,Smartphone,0,0,0,0,6,1,60,Medium Risk,2025-02
TXN0139,2025-03-06,CUST0317,AGT0055,Mwanza,PayBill,"213,834 ","504,623 ",0 ,Web,15,0,0,1,14,1,160,High Risk,2025-03
TXN0140,2025-07-31,CUST0424,AGT0048,Arusha,Withdraw,"87,442 ","424,397 ",0 ,Smartphone,23,0,0,0,6,1,60,Medium Risk,2025-07
TXN0141,2025-09-10,CUST0129,AGT0110,Arusha,PayBill,"427,241 ","271,383 ",0 ,Web,15,0,0,1,4,1,60,Medium Risk,2025-09
TXN0142,2025-08-14,CUST0016,AGT0112,Mwanza,Send,"247,312 ","241,965 ",0 ,Web,10,0,0,1,4,1,60,Medium Risk,2025-08
TXN0143,2025-03-05,CUST0229,AGT0027,Dar,Receive,"320,643 ","279,593 ","187,720 ",USSD,12,0,0,1,15,1,170,High Risk,2025-03
TXN0144,2025-04-16,CUST0118,AGT0096,Dar,Send,"455,128 ","202,394 ",0 ,Smartphone,19,0,0,1,10,1,120,High Risk,2025-04
TXN0145,2025-08-08,CUST0449,AGT0153,Dar,Receive,"101,808 ","904,933 ","104,074 ",USSD,12,0,0,0,4,1,40,Medium Risk,2025-08
TXN0146,2025-02-24,CUST0295,AGT0077,Mwanza,Send,"305,497 ","828,188 ",0 ,Feature Phone,6,0,0,1,9,1,110,High Risk,2025-02
TXN0147,2025-06-13,CUST0110,AGT0003,Dar,Withdraw,"222,576 ","235,580 ",0 ,Smartphone,1,0,0,1,3,1,50,Medium Risk,2025-06
TXN0148,2025-07-27,CUST0094,AGT0056,Mbeya,Receive,"238,822 ","641,607 ","140,813 ",Web,3,0,0,1,2,0,40,Medium Risk,2025-07
TXN0149,2025-05-23,CUST0002,AGT0099,Mbeya,Deposit,"300,054 ","266,027 ",0 ,Smartphone,15,0,0,1,7,1,90,High Risk,2025-05
TXN0150,2025-06-29,CUST0371,AGT0012,Dar,Deposit,"142,311 ","267,230 ",0 ,Smartphone,17,0,0,0,3,1,30,Low Risk,2025-06
TXN0151,2025-01-06,CUST0256,AGT0008,Mwanza,PayBill,"113,403 ","842,796 ",0 ,Smartphone,19,0,0,0,12,1,120,High Risk,2025-01
TXN0152,2025-08-07,CUST0457,AGT0044,Dar,PayBill,"216,069 ","88,461 ",0 ,Smartphone,21,0,0,1,5,1,70,High Risk,2025-08
TXN0153,2025-05-14,CUST0438,AGT0022,Dodoma,PayBill,"189,301 ","983,479 ",0 ,Feature Phone,15,0,0,0,8,1,80,High Risk,2025-05
TXN0154,2025-11-23,CUST0448,AGT0185,Mbeya,Withdraw,"301,985 ","770,641 ",0 ,Web,1,0,0,1,1,0,30,Low Risk,2025-11
TXN0155,2025-11-14,CUST0323,AGT0136,Dodoma,Receive,"494,204 ","555,853 ","77,273 ",Feature Phone,4,0,0,1,4,1,60,Medium Risk,2025-11
TXN0156,2025-09-14,CUST0070,AGT0082,Dar,Receive,"4,745 ","363,378 ","485,949 ",Feature Phone,22,1,0,0,6,1,110,High Risk,2025-09
TXN0157,2025-05-16,CUST0252,AGT0054,Arusha,BuyAirtime,"333,768 ","431,284 ",0 ,Smartphone,14,0,0,1,3,1,50,Medium Risk,2025-05
TXN0158,2025-10-15,CUST0388,AGT0119,Dar,Send,"313,765 ","99,559 ",0 ,Web,18,0,0,1,3,1,50,Medium Risk,2025-10
TXN0159,2025-02-26,CUST0467,AGT0158,Mbeya,Deposit,"50,316 ","489,683 ",0 ,Feature Phone,16,0,0,0,16,1,160,High Risk,2025-02
TXN0160,2025-02-28,CUST0092,AGT0164,Mbeya,Send,"471,952 ","628,885 ",0 ,Smartphone,18,0,0,1,12,1,140,High Risk,2025-02
TXN0161,2025-12-03,CUST0282,AGT0080,Dar,Withdraw,"102,285 ","167,408 ",0 ,Smartphone,13,0,0,0,1,0,10,Low Risk,2025-12
TXN0162,2025-04-02,CUST0463,AGT0200,Arusha,Withdraw,"33,337 ","228,706 ",0 ,USSD,12,0,0,0,7,1,70,High Risk,2025-04
TXN0163,2025-01-17,CUST0023,AGT0099,Dar,Receive,"78,563 ","973,926 ","478,360 ",Feature Phone,11,0,0,0,9,1,90,High Risk,2025-01
TXN0164,2025-06-16,CUST0347,AGT0055,Mbeya,Deposit,"56,251 ","652,480 ",0 ,Feature Phone,18,0,0,0,3,1,30,Low Risk,2025-06
TXN0165,2025-04-02,CUST0215,AGT0093,Arusha,BuyAirtime,"360,100 ","105,599 ",0 ,Feature Phone,23,0,0,1,9,1,110,High Risk,2025-04
TXN0166,2025-05-09,CUST0430,AGT0029,Mbeya,BuyAirtime,"177,159 ","418,161 ",0 ,USSD,4,0,0,0,8,1,80,High Risk,2025-05
